name,email,password,phone,role
Ankit,ankit.patel@gmail.com,Valid@Pass1,9876543210,Admin
Bhavna,bhavna@@gmail.com,Strong@Pass2,9123456789,Instructor
Chirag,chirag.mehta@gmail.com,NoSpecial123,9988776655,Admin
Deepa,deepa.shah@gmail.com,Short1@,98765,Instructor
Esha,esha.trivedi@gmail.com,Good@Pass3,9090909090,Manager
Farhan,farhan.khan@gmail.com,,9012345678,Admin
Gaurav,gaurav.joshi@gmail.com,Perfect@Pass4,abcdefghij,Instructor
Hina,hina.desai@gmail.com,Strong@Pass5,9876501234,Admin
Irfan,irfan.shaikh@gmail,Valid@Pass6,9988123456,Instructor
Jaya,,Strong@Pass7,9011122233,Admin
